id,title,tags
19995,Avatar,cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d samworthington zoesaldana sigourneyweaver action adventure fantasy sciencefiction jamescameron
285,Pirates of the Caribbean: At World's End,ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley adventure fantasy action goreverbinski
206647,Spectre,spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom danielcraig christophwaltz léaseydoux action adventure crime sammendes
49026,The Dark Knight Rises,dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christianbale michaelcaine garyoldman action crime drama thriller christophernolan
49529,John Carter,basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d taylorkitsch lynncollins samanthamorton action adventure sciencefiction andrewstanton
559,Spider-Man 3,dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge tobeymaguire kirstendunst jamesfranco fantasy action adventure samraimi
38757,Tangled,hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick zacharylevi mandymoore donnamurphy animation family byronhoward
99861,Avengers: Age of Ultron,marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d robertdowneyjr. chrishemsworth markruffalo action adventure sciencefiction josswhedon
767,Harry Potter and the Half-Blood Prince,witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf danielradcliffe rupertgrint emmawatson adventure fantasy family davidyates
209112,Batman v Superman: Dawn of Justice,dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse benaffleck henrycavill galgadot action adventure fantasy zacksnyder
1452,Superman Returns,savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor brandonrouth kevinspacey katebosworth adventure fantasy action sciencefiction bryansinger
10764,Quantum of Solace,killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric adventure action thriller crime marcforster
58,Pirates of the Caribbean: Dead Man's Chest,witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley adventure fantasy action goreverbinski
57201,The Lone Ranger,texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto johnnydepp armiehammer williamfichtner action adventure western goreverbinski
49521,Man of Steel,savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse henrycavill amyadams michaelshannon action adventure fantasy sciencefiction zacksnyder
2454,The Chronicles of Narnia: Prince Caspian,basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld benbarnes williammoseley annapopplewell adventure family fantasy andrewadamson
24428,The Avengers,newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse robertdowneyjr. chrisevans markruffalo sciencefiction action adventure josswhedon
1865,Pirates of the Caribbean: On Stranger Tides,sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnnydepp penélopecruz ianmcshane adventure action fantasy robmarshall
41154,Men in Black 3,timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory willsmith tommyleejones joshbrolin action comedy sciencefiction barrysonnenfeld
122917,The Hobbit: The Battle of the Five Armies,corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery martinfreeman ianmckellen richardarmitage action adventure fantasy peterjackson
1930,The Amazing Spider-Man,lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger andrewgarfield emmastone rhysifans action adventure fantasy marcwebb
20662,Robin Hood,robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland russellcrowe cateblanchett maxvonsydow action adventure ridleyscott
57158,The Hobbit: The Desolation of Smaug,elves dwarves orcs hobbit dragon wizard swordandsorcery martinfreeman ianmckellen richardarmitage adventure fantasy peterjackson
2268,The Golden Compass,england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel dakotabluerichards nicolekidman danielcraig adventure fantasy chrisweitz
254,King Kong,filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur naomiwatts jackblack adrienbrody adventure drama action peterjackson
597,Titanic,shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s katewinslet leonardodicaprio francesfisher drama romance thriller jamescameron
271110,Captain America: Civil War,civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d chrisevans robertdowneyjr. scarlettjohansson adventure action sciencefiction anthonyrusso
44833,Battleship,fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri taylorkitsch alexanderskarsgård rihanna thriller action adventure sciencefiction peterberg
135397,Jurassic World,monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan action adventure sciencefiction thriller colintrevorrow
37724,Skyfall,spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao danielcraig judidench javierbardem action adventure thriller sammendes
558,Spider-Man 2,dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain tobeymaguire kirstendunst jamesfranco action adventure fantasy samraimi
68721,Iron Man 3,terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis robertdowneyjr. gwynethpaltrow doncheadle action adventure sciencefiction shaneblack
12155,Alice in Wonderland,basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d miawasikowska johnnydepp annehathaway family fantasy adventure timburton
36668,X-Men: The Last Stand,mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger hughjackman halleberry ianmckellen adventure action sciencefiction thriller brettratner
62211,Monsters University,monster dormitory games animation bestfriend university scary aftercreditsstinger billycrystal johngoodman stevebuscemi animation family danscanlon
8373,Transformers: Revenge of the Fallen,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger shialabeouf meganfox joshduhamel sciencefiction action adventure michaelbay
91314,Transformers: Age of Extinction,sequel alien transformers giantrobot robot imax transformingrobot markwahlberg stanleytucci kelseygrammer sciencefiction action adventure michaelbay
68728,Oz: The Great and Powerful,circus witch magic hope illusion lost magictrick wizard 3d jamesfranco milakunis rachelweisz fantasy adventure family samraimi
102382,The Amazing Spider-Man 2,obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers andrewgarfield emmastone jamiefoxx action adventure fantasy marcwebb
20526,TRON: Legacy,artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy garretthedlund jeffbridges oliviawilde adventure action sciencefiction josephkosinski
49013,Cars 2,carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger owenwilson larrythecableguy michaelcaine animation family adventure comedy johnlasseter
44912,Green Lantern,dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d ryanreynolds blakelively petersarsgaard adventure action thriller sciencefiction martincampbell
10193,Toy Story 3,hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory tomhanks timallen nedbeatty animation family comedy leeunkrich
534,Terminator Salvation,savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles christianbale samworthington antonyelchin action sciencefiction thriller mcg
168259,Furious 7,carrace speed revenge suspense car race musclecar vindiesel paulwalker dwaynejohnson action jameswan
72190,World War Z,dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse bradpitt mireilleenos abigailhargrove action drama horror sciencefiction thriller marcforster
127585,X-Men: Days of Future Past,1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture hughjackman jamesmcavoy michaelfassbender action adventure fantasy sciencefiction bryansinger
54138,Star Trek Into Darkness,spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d chrispine zacharyquinto zoesaldana action adventure sciencefiction j.j.abrams
81005,Jack the Giant Slayer,basedonfairytale giant nicholashoult eleanortomlinson ewanmcgregor action family fantasy bryansinger
64682,The Great Gatsby,basedonnovel infidelity obsession hope 3d leonardodicaprio tobeymaguire careymulligan drama romance bazluhrmann
9543,Prince of Persia: The Sands of Time,persia sandstorm brotheragainstbrother armageddon regent basedonvideogame jakegyllenhaal gemmaarterton benkingsley adventure fantasy action romance mikenewell
68726,Pacific Rim,dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d idriselba charliehunnam charlieday action sciencefiction adventure guillermodeltoro
38356,Transformers: Dark of the Moon,moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger shialabeouf johnmalkovich kenjeong action sciencefiction adventure michaelbay
217,Indiana Jones and the Kingdom of the Crystal Skull,savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology  harrisonford cateblanchett shialabeouf adventure action stevenspielberg
105864,The Good Dinosaur,tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey raymondochoa jackbright jeffreywright adventure animation family petersohn
62177,Brave,scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d kellymacdonald juliewalters billyconnolly animation adventure comedy family action fantasy brendachapman
188927,Star Trek Beyond,sequel stranded hatred spaceopera chrispine zacharyquinto karlurban action adventure sciencefiction justinlin
10681,WALL·E,romanticcomedy benburtt elissaknight jeffgarlin animation family andrewstanton
5174,Rush Hour 3,ambassador christucker jackiechan hiroyukisanada action comedy crime thriller brettratner
14161,2012,civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind johncusack amandapeet chiwetelejiofor action adventure sciencefiction rolandemmerich
17979,A Christmas Carol,holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas garyoldman jimcarrey stevevalentine animation drama robertzemeckis
76757,Jupiter Ascending,jupiter space womandirector 3d interspeciesromance milakunis channingtatum seanbean sciencefiction fantasy action adventure lillywachowski
258489,The Legend of Tarzan,africa feralchild tarzan jungle animalattack alexanderskarsgård margotrobbie christophwaltz action adventure davidyates
